product_name,price,link
Open Box: PowerColor Hellhound Radeon RX 9070 XT 16GB 256-Bit GDDR6 PCI Express 5.0 RDNA 4 Graphics Card RX9070XT 16G-L/OC,699.99,https://www.newegg.com/powercolor-hellhound-rx9070xt-16g-l-oc-radeon-rx-9070-xt-16gb-graphics-card-triple-fans/p/N82E16814131870R?Item=N82E16814131870R
"Open Box: GIGABYTE Z890 AORUS ELITE WIFI7 ICE Ultra Core (Series 2) LGA 1851, ATX, DDR5, 4x M.2, PCIe 5.0, Thunderbolt 4, WIFI7, 2.5GbE LAN, EZ-Latch",149.99,https://www.newegg.com/gigabyte-z890-aorus-elite-wf7-ice-atx-motherboards-intel-intel-z890-lga-1851/p/N82E16813145526R?Item=N82E16813145526R
Open Box: MSI B650 GAMING PLUS WIFI AM5 AMD B650 SATA 6Gb/s ATX Motherboard,110.99,https://www.newegg.com/msi-b650-gaming-plus-wifi-atx-motherboard-amd-b650-am5/p/N82E16813144628R?Item=N82E16813144628R
"CORSAIR RX Series, iCUE LINK RX120, 120mm Fan, Triple Pack",50.99,https://www.newegg.com/corsair-rx120-case-fan-120-mm-non-led-led/p/N82E16835181402?Item=N82E16835181402
"ASUS PE1100N / Orin Nano 4G/128G/WiFi/BT/US Arm System, NVIDIA Jetson™ Orin™, LPDDR4, eMMC, USB3, Dual LAN, HDMI, M.2 E, M.2 B, M.2 M, AEM, Dual SIM, 12-24V - OEM",576.27,https://www.newegg.com/p/N82E16859110011?Item=N82E16859110011
"NZXT H6 FLOW Compact Dual-Chamber Mid-Tower Airflow Case, White, CC-H61FW-01",99.99,https://www.newegg.com/nzxt-mid-tower-sgcc-steel-ultra-clear-tempered-glass-computer-case-white-cc-h61fw-01/p/N82E16811146356?Item=N82E16811146356
Open Box: NZXT Kraken 280MM (575) Liquid / Water Cooling,79.99,https://www.newegg.com/nzxt-liquid-cooling-system-kraken/p/N82E16835146119R?Item=N82E16835146119R
GIGABYTE MH53-G40 Server Motherboard - AMD Ryzen™ Threadripper™ PRO 9000/7000 WX - E-ATX UP,876.00,https://www.newegg.com/gigabyte-mh53-g40-amd-ryzen-threadripper-pro-7000-wx-series-processors/p/N82E16813145513?Item=N82E16813145513
Open Box: MSI Raider 18 HX Gaming Laptops Intel Core i9-14900HX NVIDIA GeForce RTX 4090 32GB Memory 1TB NVMe SSD Windows 11 Home A14VIG-459US,"2,199.99",https://www.newegg.com/msi-raider-18-hx-a14vig-459us-18-intel-core-i9-14900hx-qhd-16gb-2-memory-1-tb-nvme-ssd/p/N82E16834156748R?Item=N82E16834156748R
"Open Box: Razer BlackShark V2 X Gaming Headset: 7.1 Surround Sound Capable - 50mm Drivers - Memory Foam Cushion - for PC, PS4, Nintendo Switch - 3.5mm Headphone Jack - Classic Black",44.99,https://www.newegg.com/razer-rz04-03240100-r3u1/p/1VH-000G-001F0R?Item=1VH-000G-001F0R
Pascari AI100E U.2 1TB PCI-Express 4.0 Solid State Disk Enterprise - A1808K031T00E004T0900,"1,449.99",https://www.newegg.com/p/N82E16820979051?Item=N82E16820979051
"ASUS AirVision M1 Smart AR Glasses - 100"" Micro-OLED Wearable Display, 1100 nits, Multi-Screen, Speakers, USB-C, Magnetic Shade, Designed for ROG Ally/Steam Deck/PC/iPhone 16/15/Android/Mac/Tablet",,https://www.newegg.com/asus-airvision-m1/p/N82E16882875010?Item=N82E16882875010
ASRock DESKMEET B760W/B/BB/BOX/US Barebone System,201.95,https://www.newegg.com/asrock-barebone-system-intel-core-i7-14th-gen-deskmeet-b760w-b-bb-box-us/p/N82E16856158098?Item=N82E16856158098
